state,positive,negative,ratio_pos_over_neg,ratio_pos_over_total
AK,1656760,77033703,0.021507,0.021054
AL,24282758,159567202,0.152179,0.132079
AR,13422076,147104865,0.091242,0.083613
AS,0,249791,0.000000,0.000000
AZ,35894317,201917924,0.177767,0.150936
CA,126643296,2183819832,0.057992,0.054813
CO,15736738,142930238,0.110101,0.099181
CT,13164724,259613004,0.050709,0.048262
DC,2988585,58917999,0.050724,0.048276
DE,3914371,43323206,0.090353,0.082866
FL,106829756,751142471,0.142223,0.124514
GA,48555886,406954073,0.119315,0.106597
GU,436761,7439971,0.058705,0.055450
HI,1622759,38771843,0.041854,0.040173
IA,15592895,107053275,0.145655,0.127137
ID,7240845,43031096,0.168270,0.144034
IL,59718277,862140450,0.069267,0.064780
IN,24131741,197985426,0.121886,0.108644
KS,10689787,73094086,0.146247,0.127588
KY,12395410,204719106,0.060548,0.057092
LA,28037617,338397057,0.082854,0.076515
MA,29496462,336811777,0.087576,0.080524
MD,22839105,233073975,0.097991,0.089246
ME,1084543,67859719,0.015982,0.015731
MI,30480853,569291217,0.053542,0.050821
MN,20217017,225225064,0.089764,0.082370
MO,21132851,175184257,0.120632,0.107647
MP,12579,2552027,0.004929,0.004905
MS,15712257,106130305,0.148047,0.128955
MT,3100050,53569922,0.057869,0.054704
NC,34455710,461090490,0.074727,0.069531
ND,4447121,36647384,0.121349,0.108217
NE,9117558,67315095,0.135446,0.119289
NH,1836236,43686055,0.042033,0.040337
NJ,46389594,559074051,0.082976,0.076618
NM,6396778,149940762,0.042662,0.040916
NV,13245373,100621631,0.131635,0.116323
NY,104056991,1725435452,0.060308,0.056878
OH,29704003,484990822,0.061247,0.057712
OK,14132507,179297720,0.078821,0.073063
OR,5823042,112262019,0.051870,0.049312
PA,32597219,307108742,0.106142,0.095957
PR,3631722,50958156,0.071269,0.066527
RI,5464042,54330594,0.100570,0.091380
SC,22572079,192892602,0.117019,0.104760
SD,4878909,28210252,0.172948,0.147447
TN,32128971,421487097,0.076228,0.070829
TX,114486497,910191843,0.125783,0.111729
UT,13802913,129216420,0.106820,0.096511
VA,25253511,302996183,0.083346,0.076934
VI,168555,2743601,0.061436,0.057880
VT,406638,25346392,0.016043,0.015790
WA,15856729,299026434,0.053028,0.050358
WI,25920979,234804376,0.110394,0.099419
WV,2908712,93067175,0.031254,0.030307
WY,1563677,15234707,0.102639,0.093085
